The Dancing Plague,Gareth Brookes,3.82 avg rating — 460 ratings,False,
The Dangerous Convenience Store Vol. 1,945,"4.27 avg rating — 4,338 ratings",False,
The Dangerous Convenience Store Vol. 2,945,"4.33 avg rating — 2,074 ratings",False,
The Dangerous Convenience Store Vol. 3,945,"4.35 avg rating — 1,217 ratings",False,
The Dark Matter of Mona Starr,Laura Lee Gulledge,"3.87 avg rating — 2,053 ratings",False,
The Daughters of Ys,M.T. Anderson,"3.84 avg rating — 6,525 ratings",False,
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,"3.99 avg rating — 11,905 ratings",False,
The Death and Life of Superman,Roger Stern,"4.10 avg rating — 6,159 ratings",False,
"The Death of Captain Marvel (Marvel Graphic Novel, #1)",Jim Starlin,"4.23 avg rating — 1,943 ratings",False,
The Death of Doctor Strange,Jed MacKay|(Writer),"3.92 avg rating — 1,031 ratings",False,
The Death of Superman,Dan Jurgens,"3.93 avg rating — 18,133 ratings",False,
The Death-Ray,Daniel Clowes,"3.82 avg rating — 4,663 ratings",False,
The Deep & Dark Blue,Niki Smith,"4.22 avg rating — 2,995 ratings",False,
The Delicacy,James Albon,3.90 avg rating — 727 ratings,False,
"The Department of Truth, Vol 1: The End of the World",James Tynion IV,"4.11 avg rating — 4,444 ratings",False,
"The Department of Truth, Vol. 3: Free Country",James Tynion IV,"4.15 avg rating — 1,306 ratings",False,
The Diary of  a Teenage Girl: An Account in Words and Pictures,Phoebe Gloeckner,"3.92 avg rating — 4,750 ratings",False,
The Dire Days of Willowweep Manor,Shaenon K. Garrity,"3.93 avg rating — 2,560 ratings",False,
"The Dog Knight (The Dog Knight, 1)",Jeremy Whitley,4.19 avg rating — 471 ratings,False,
The Dollhouse Family,Mike Carey,"3.77 avg rating — 1,976 ratings",False,
The Domesticated Afterlife,Scott David Finch,4.00 avg rating — 5 ratings,False,
The Down River People,Adam      Smith,3.11 avg rating — 261 ratings,False,
"The Dragon in The Closet, Book One",Carolyn Watson-Dubisch,4.47 avg rating — 15 ratings,False,
The Dreamer,Will Eisner,3.87 avg rating — 781 ratings,False,
The Dreaming Vol. 4: Waking Hours,G. Willow Wilson,4.27 avg rating — 527 ratings,False,
"The Dreaming, Vol. 2: Empty Shells",Simon Spurrier,3.92 avg rating — 873 ratings,False,
"The Dreaming, Vol. 3: One Magic Movement",Simon Spurrier,4.19 avg rating — 574 ratings,False,
The Dysasters: The Graphic Novel,P.C. Cast,2.53 avg rating — 102 ratings,False,
The Emotional Load: And Other Invisible Stuff,Emma,4.17 avg rating — 620 ratings,False,
The Encyclopedia of Early Earth,Isabel Greenberg,"4.03 avg rating — 7,642 ratings",False,
The End of the Fucking World,Charles Forsman,"3.33 avg rating — 8,691 ratings",False,
"The Escape (Snowpiercer, #1)",Jacques Lob,"3.31 avg rating — 4,169 ratings",False,
The Essential Dykes To Watch Out For,Alison Bechdel,"4.44 avg rating — 12,542 ratings",False,
The Eternal Smile: Three Stories,Gene Luen Yang,"3.65 avg rating — 4,473 ratings",False,
The Fabulous Furry Freak Brothers Omnibus,Gilbert Shelton,4.45 avg rating — 295 ratings,False,
The Fade Out,Ed Brubaker|(Writer),"4.31 avg rating — 2,659 ratings",False,
"The Fade Out, Act One (The Fade Out, #1)",Ed Brubaker,"3.88 avg rating — 5,513 ratings",False,
The Faint of Heart,Kerilynn Wilson|(Author/Illustrator),"3.89 avg rating — 1,977 ratings",False,
"The Fairway (Super Indy, #2)",Alex Letner,4.77 avg rating — 48 ratings,False,
The Far Side Gallery,Gary Larson,"4.43 avg rating — 25,928 ratings",False,
"The Fifth Quarter (The Fifth Quarter, #1)",Mike    Dawson,4.21 avg rating — 811 ratings,False,
The Filth,Grant Morrison,"3.72 avg rating — 4,627 ratings",False,
The Fire Never Goes Out: A Memoir in Pictures,N.D. Stevenson,"4.02 avg rating — 8,429 ratings",False,
The First Cat in Space Ate Pizza,Mac Barnett,"4.12 avg rating — 2,020 ratings",False,
The First Night with the Duke Volume 4,Hwang DoTol,4.32 avg rating — 326 ratings,False,
The First Night with the Duke Volume 5,Hwang DoTol,4.34 avg rating — 314 ratings,False,
The First Night with the Duke Volume 6,Hwang DoTol,4.40 avg rating — 285 ratings,False,
The Fixer: A Story from Sarajevo,Joe Sacco,"3.87 avg rating — 3,116 ratings",False,
"The Forbidden Work, Vol. 0: The Horny Goof and Other Underground Stories (The Collected Fantasies of Jean Giraud, #0)",Mœbius,3.66 avg rating — 433 ratings,False,
The Forest,Thomas Ott,3.77 avg rating — 757 ratings,False,
"The Forged, Volume 1: Operation Black Box (The Forged, #1)",Greg Rucka,3.51 avg rating — 143 ratings,False,
The Fountain,Darren Aronofsky,"4.05 avg rating — 1,817 ratings",False,
The Frank Book,Jim Woodring,"4.35 avg rating — 2,281 ratings",False,
The Fun House,Lynda Barry,4.40 avg rating — 437 ratings,False,
"The Ghost in You (Reckless, #4)",Ed Brubaker,"4.26 avg rating — 1,936 ratings",False,
The Gigantic Beard that Was Evil,Stephen    Collins,"4.03 avg rating — 8,405 ratings",False,
The Girl and the Glim,India Swift|(Illustrator),"3.74 avg rating — 1,156 ratings",False,
The Girl from the Sea,Molly Knox Ostertag,"4.14 avg rating — 52,559 ratings",False,
"The God of High School Volume Two: A WEBTOON Unscrolled Graphic Novel (God of High School, 2)",Park Yong-je,4.11 avg rating — 44 ratings,False,
"The Goddamned, Volume 2: The Virgin Brides",Jason Aaron,3.84 avg rating — 327 ratings,False,
The Golden Hour,Niki Smith,"4.28 avg rating — 2,753 ratings",False,
"The Good Asian, Volume One",Pornsak Pichetshote,"3.78 avg rating — 1,090 ratings",False,
The Good Times are Killing Me,Lynda Barry,"4.19 avg rating — 1,304 ratings",False,
"The Goon, Volume 1: Nothin' but Misery",Eric Powell,"4.14 avg rating — 3,364 ratings",False,
The Graveyard Book Graphic Novel Single Volume,Neil Gaiman,"4.29 avg rating — 1,873 ratings",False,
"The Graveyard Book Graphic Novel, Volume 1",Neil Gaiman,"4.32 avg rating — 17,675 ratings",False,
"The Graveyard of Cathedrals Starlight (Rork, #3)",Andreas,4.12 avg rating — 72 ratings,False,
"The Great Action (Super Indy, #4)",Alex Letner,4.83 avg rating — 92 ratings,False,
The Great Gatsby: A Graphic Novel Adaptation,K. Woodman-Maynard|(Illustrator and Adapter),"3.80 avg rating — 2,047 ratings",False,
The Great Gatsby: The Graphic Novel,Fred Fordham|(Adapter),"3.74 avg rating — 2,805 ratings",False,
The Great Northern Brotherhood of Canadian Cartoonists,Seth,3.77 avg rating — 532 ratings,False,
The Greatest Thing,Sarah Winifred Searle,"3.92 avg rating — 2,823 ratings",False,
"The Guild (The Guild, #1)",Felicia Day,"4.21 avg rating — 5,253 ratings",False,
The Gull Yettin,Joe Kessler,4.04 avg rating — 273 ratings,False,
"The Gunslinger Born (Stephen King's The Dark Tower: Beginnings, #1)",Peter David,"4.23 avg rating — 80,695 ratings",False,
The Handmaid's Tale: The Graphic Novel,"Renée Nault|(Adapter, Artist)","4.21 avg rating — 23,523 ratings",False,
The Harlem Hellfighters,Max Brooks,"4.00 avg rating — 3,211 ratings",False,
The Harrowing of Hell,Evan Dahm,3.96 avg rating — 393 ratings,False,
The He-Man Effect: How American Toymakers Sold You Your Childhood,"Brian ""Box"" Brown",4.04 avg rating — 827 ratings,False,
The Heart Hunter,Mickey George,3.92 avg rating — 348 ratings,False,
The Heart of Touqar - THT -  Epic - Vol 1,Eng.Sara Ahmad,4.87 avg rating — 92 ratings,False,
The Hills of Estrella Roja,Ashley Robin Franklin,"3.98 avg rating — 1,052 ratings",False,
The Hobbit,Chuck Dixon|(Adapter),"4.51 avg rating — 246,462 ratings",False,
"The Hunt Is On (Seekers of the Aweto, #1)",Nie Jun,3.56 avg rating — 294 ratings,False,
The Hunting Accident,David L.  Carlson|(Writer),"4.32 avg rating — 1,933 ratings",False,
"The Illustrated Al: The Songs of ""Weird Al"" Yankovic",Al Yankovic,4.14 avg rating — 236 ratings,False,
"The Immortal Hulk, Vol. 1: Or is He Both?",Al Ewing|(Writer),"4.16 avg rating — 4,983 ratings",False,
"The Immortal Iron Fist, Vol. 1: The Last Iron Fist Story",Ed Brubaker,"4.05 avg rating — 5,236 ratings",False,
The Impostor's Daughter: A True Memoir,Laurie Sandell,"3.56 avg rating — 2,400 ratings",False,
The Incal,Alejandro Jodorowsky,"4.12 avg rating — 11,443 ratings",False,
The Incal: The Epic Journey,Alejandro Jodorowsky,4.14 avg rating — 218 ratings,False,
"The Incredible Hercules, Vol. 1: Against the World",Greg Pak|(Writer),3.64 avg rating — 360 ratings,False,
The Incredible Hulk: Future Imperfect,Peter David,"4.02 avg rating — 1,090 ratings",False,
The Incredible Hulk: Planet Hulk,Greg Pak|(Writer),"4.26 avg rating — 14,487 ratings",False,
The Infinity Gauntlet,Jim Starlin|(Writer),"4.12 avg rating — 17,996 ratings",False,
The Infinity Particle,Wendy  Xu,"4.03 avg rating — 2,238 ratings",False,
The Innkeeper Chronicles: Clean Sweep The Graphic Novel (Volume 1),ChrossxXxRodes|(Adapter),4.23 avg rating — 474 ratings,False,
The Invasion: The Graphic Novel (Animorphs Graphix #1),K.A. Applegate,"4.24 avg rating — 1,811 ratings",False,
The Invention of Hugo Cabret,Brian Selznick,"4.22 avg rating — 184,975 ratings",False,
"The Invincible Iron Man, Volume 1: The Five Nightmares",Matt Fraction,"4.11 avg rating — 6,444 ratings",False,
The Invincible Iron Man: Extremis,Warren Ellis,"4.13 avg rating — 16,255 ratings",False,
"The Invisibles, Volume 1: Say You Want a Revolution",Grant Morrison,"3.95 avg rating — 9,770 ratings",False,
The Jew of New York,Ben Katchor,3.58 avg rating — 310 ratings,False,
The Joker: Death of the Family,Scott Snyder|(Writer),"4.09 avg rating — 4,997 ratings",False,
The Last Count of Monte Cristo: The Bold Afrofuturist Graphic Novel,Ayize Jama-Everett,3.32 avg rating — 127 ratings,False,
The Last Flower: A Parable in Pictures,James Thurber,4.09 avg rating — 245 ratings,False,
"The Last Kids on Earth: June's Wild Flight (Last Kids on Earth, #5.5)",Max Brallier,"4.46 avg rating — 1,484 ratings",False,
The Last Kids on Earth: Thrilling Tales from the Tree House,Max Brallier,4.17 avg rating — 642 ratings,False,
The Last Lonely Saturday,Jordan Crane,3.83 avg rating — 306 ratings,False,
The Last Musketeer,Jason,"3.89 avg rating — 1,527 ratings",False,
The Last Unicorn,Peter B. Gillis|(Adaptor),"4.34 avg rating — 9,238 ratings",False,
"The League of Extraordinary Gentlemen, Vol. 1",Alan             Moore,"3.95 avg rating — 54,865 ratings",False,
"The League of Extraordinary Gentlemen, Vol. 4: The Tempest",Alan             Moore,3.71 avg rating — 930 ratings,False,
The League of Super Feminists,Mirion Malle,4.11 avg rating — 646 ratings,False,
The Leak,Kate Reed Petty,"4.02 avg rating — 1,257 ratings",False,
The Left Bank Gang,Jason,"3.92 avg rating — 2,118 ratings",False,
The Legend of Auntie Po,Shing Yin Khor,"4.06 avg rating — 2,745 ratings",False,
"The Legend of Zelda: Ocarina of Time - Part 1 (Zelda, #1)",Akira Himekawa,"4.26 avg rating — 5,239 ratings",False,
The Life and Times of Scrooge McDuck,Don Rosa,"4.68 avg rating — 4,505 ratings",False,
The Life and Times of Scrooge McDuck Companion,Don Rosa,"4.50 avg rating — 1,512 ratings",False,
The Little Book of Hindu Deities: From the Goddess of Wealth to the Sacred Cow,Sanjay Patel,"4.37 avg rating — 1,029 ratings",False,
The Little Prince,Joann Sfar|(Adaptation Author),"4.24 avg rating — 6,959 ratings",False,
"The Lone Ranger, Vol. 1: The Lone Ranger",Brett Matthews,3.82 avg rating — 245 ratings,False,
The Loneliness of the Long-Distance Cartoonist,Adrian Tomine,"4.01 avg rating — 4,278 ratings",False,
The Lonesome Hunters,Tyler Crook,3.90 avg rating — 192 ratings,False,
"The Losers, Vol. 1: Ante Up",Andy Diggle,"3.77 avg rating — 1,428 ratings",False,
The Love Bunglers,Jaime Hernández,"4.22 avg rating — 1,164 ratings",False,
"The Low, Low Woods",,,False,
"The Mad Archives, Vol. 1",Wallace Wood,4.25 avg rating — 117 ratings,False,
The Magic Fish,Trung Le Nguyen,"4.51 avg rating — 26,281 ratings",False,
The Man Who Shot Chris Kyle: An American Legend,Fabien Nury,3.72 avg rating — 191 ratings,False,
The Man Without Talent,Yoshiharu Tsuge,"4.06 avg rating — 2,257 ratings",False,
"The Manhattan Projects, Vol. 1: Science. Bad.",Jonathan Hickman|(Writer),"3.87 avg rating — 7,961 ratings",False,
The Many Deaths of Laila Starr,Ram V.,"4.30 avg rating — 8,066 ratings",False,
The Marble Queen,Anna Kopp,"3.62 avg rating — 1,275 ratings",False,
The Marble Queen,Anna Kopp,"3.62 avg rating — 1,553 ratings",False,
"The Maxx, Vol. 1",Sam Kieth,"4.21 avg rating — 3,717 ratings",False,
The Me You Love in the Dark: Books 1-5,Skottie Young,"3.70 avg rating — 3,951 ratings",False,
The Metabarons: Ultimate Collection,Alejandro Jodorowsky,"4.20 avg rating — 2,119 ratings",False,
The Moth Keeper,Kay O'Neill,"4.08 avg rating — 8,047 ratings",False,
"The Mystery of the Moon Tower (The Pathfinders Society, #1)",Francesco Sedita,3.48 avg rating — 595 ratings,False,
The Name of the Game,Will Eisner,3.89 avg rating — 444 ratings,False,
The Nao of Brown,Glyn Dillon,"3.98 avg rating — 3,893 ratings",False,
"The Need for Speed Caper (Carmen Sandiego Graphic Novels, #4)",Clarion Books,3.79 avg rating — 68 ratings,False,
"The New Avengers, Vol. 1: Breakout",Brian Michael Bendis,"4.05 avg rating — 11,780 ratings",False,
The Night Bookmobile,Audrey Niffenegger,"3.49 avg rating — 6,542 ratings",False,
The Nightly News,Jonathan Hickman,"3.84 avg rating — 2,915 ratings",False,
The Nikopol Trilogy,Enki Bilal,"4.04 avg rating — 2,212 ratings",False,
The Nobody,Jeff Lemire,"3.70 avg rating — 3,049 ratings",False,
The Number 73304-23-4153-6-96-8,Thomas Ott,"4.05 avg rating — 1,670 ratings",False,
The Nutcracker and the Mouse King: The Graphic Novel,Natalie Andrewson|(adapter),3.95 avg rating — 418 ratings,False,
The Odyssey: A Graphic Novel,Gareth Hinds,"3.92 avg rating — 10,154 ratings",False,
"The Okay Witch and the Hungry Shadow (The Okay Witch, #2)",Emma Steinkellner,"4.22 avg rating — 3,116 ratings",False,
The Once and Future King (Rat Queens #7),Ryan Ferrier,"3.68 avg rating — 1,354 ratings",False,
The One Hundred Nights of Hero,Isabel Greenberg,"4.40 avg rating — 6,468 ratings",False,
The One-Trick Rip-Off,Paul Pope,3.47 avg rating — 109 ratings,False,
The Only Child,Guojing,"4.33 avg rating — 2,758 ratings",False,
The Only Living Girl #2: Beneath the Unseen City (2),David Gallaher,3.74 avg rating — 34 ratings,False,
The Oracle Code,Marieke Nijkamp,"3.79 avg rating — 3,236 ratings",False,
The Other Side,Jason Aaron|(Writer),3.92 avg rating — 925 ratings,False,
The Out Side: Trans & Nonbinary Comics,The Kao|(Compiler),"4.37 avg rating — 1,040 ratings",False,
The Outbreak Conspiracy Volume 1: Fight Against a Criminal Regime,Jorge Sheldon,5.00 avg rating — 5 ratings,False,
The People Inside (2) (One Soul),Ray Fawkes,3.91 avg rating — 245 ratings,False,
The Phantom of the Opera,Cavan Scott,4.19 avg rating — 280 ratings,False,
The Phantom Twin,Lisa Brown,"3.67 avg rating — 2,667 ratings",False,
The Photographer,Emmanuel Guibert,"4.30 avg rating — 3,895 ratings",False,
"The Plain Janes (Janes, #1)",Cecil Castellucci,"3.68 avg rating — 7,348 ratings",False,
The Planetary Omnibus,Warren Ellis|(Writer),"4.46 avg rating — 2,898 ratings",False,
The Plot: The Secret Story of the Protocols of the Elders of Zion,Will Eisner,"3.82 avg rating — 1,972 ratings",False,
The Poor Bastard,Joe Matt,"3.82 avg rating — 1,607 ratings",False,
The Prince and the Dressmaker,Jen Wang,"4.35 avg rating — 112,816 ratings",False,
The Princess and the Grilled Cheese Sandwich,Deya Muniz,"4.40 avg rating — 16,272 ratings",False,
The Pro,Garth Ennis,"3.50 avg rating — 2,203 ratings",False,
The Property,Rutu Modan,"3.94 avg rating — 5,463 ratings",False,
"The Punisher, Vol. 1: In the Beginning",Garth Ennis,"4.19 avg rating — 2,231 ratings",False,
"The Punisher, Vol. 1: Welcome Back, Frank",Garth Ennis,"4.21 avg rating — 5,698 ratings",False,
The Punisher: Born,Garth Ennis,"4.18 avg rating — 2,900 ratings",False,
The Push Man and Other Stories,Yoshihiro Tatsumi,"3.97 avg rating — 3,851 ratings",False,
"The Rabbi's Cat (The Rabbi's Cat, #1-3)",Joann Sfar,"4.05 avg rating — 7,113 ratings",False,
The Ragged Trousered Philanthropists,Sophie Rickard,4.48 avg rating — 232 ratings,False,
"The Raven Brooks Disaster (Hello Neighbor: A Graphic Novel, #2)",Zac Gorman,3.56 avg rating — 71 ratings,False,
The Realist: Last Day On Earth,,,False,
The Reddest Rose: Romantic Love from the Ancient Greeks to Reality TV,Liv Strömquist,"4.22 avg rating — 9,292 ratings",False,
"The Remarried Empress, Vol. 1",Alphatart|(Original Creator),"4.39 avg rating — 5,739 ratings",False,
"The Remarried Empress, Vol. 3 (The Remarried Empress, #3)",Alphatart,"4.45 avg rating — 2,322 ratings",False,
"The Remarried Empress, Vol. 4",Alphatart|(Original Creator),"4.43 avg rating — 2,003 ratings",False,
"The Remarried Empress, Vol. 5 (The Remarried Empress, 5)",Alphatart,"4.49 avg rating — 1,799 ratings",False,
"The Remarried Empress, Vol. 6 (The Remarried Empress, 6)",Alphatart|(original_author),"4.53 avg rating — 1,671 ratings",False,
"The Remarried Empress, Vol. 7 (The Remarried Empress, 7)",Alphatart|(original_author),"4.46 avg rating — 1,175 ratings",False,
"The Remarried Empress, Vol. 8 (The Remarried Empress, 8)",Alphatart|(original_author),4.45 avg rating — 936 ratings,False,
The Return of Superman,Dan Jurgens,"3.91 avg rating — 5,930 ratings",False,
The Rez Doctor,Gitz Crazyboy,3.38 avg rating — 8 ratings,False,
The Rocketeer: The Complete Adventures,Dave Stevens,"4.02 avg rating — 1,531 ratings",False,
The Roles We Play,Sabba Khan,4.35 avg rating — 896 ratings,False,
The Runaway Princess: A Graphic Novel,Johan Troïanowski,"3.79 avg rating — 1,094 ratings",False,
The Runaway's Diary,James Patterson,3.43 avg rating — 899 ratings,False,
The Sad Ghost Club,Lize Meddings,"3.99 avg rating — 14,645 ratings",False,
"The Sandman, Vol. 10: The Wake",Neil Gaiman,"4.52 avg rating — 50,684 ratings",False,
"The Sandman, Vol. 2: The Doll's House",Neil Gaiman,"4.43 avg rating — 107,574 ratings",False,
"The Sandman, Vol. 3: Dream Country",Neil Gaiman,"4.24 avg rating — 122,734 ratings",False,
"The Sandman, Vol. 4: Season of Mists",Neil Gaiman,"4.54 avg rating — 79,080 ratings",False,
"The Sandman, Vol. 5: A Game of You",Neil Gaiman,"4.41 avg rating — 67,251 ratings",False,
"The Sandman, Vol. 6: Fables & Reflections",Neil Gaiman,"4.42 avg rating — 59,959 ratings",False,
"The Sandman, Vol. 7: Brief Lives",Neil Gaiman,"4.55 avg rating — 59,939 ratings",False,
"The Sandman, Vol. 8: Worlds' End",Neil Gaiman,"4.44 avg rating — 53,178 ratings",False,
"The Sandman, Vol. 9: The Kindly Ones",Neil Gaiman,"4.59 avg rating — 51,445 ratings",False,
The Sandman: Overture,Neil Gaiman,"4.04 avg rating — 66,045 ratings",False,
The Sandman: The Dream Hunters,Neil Gaiman,"4.41 avg rating — 21,007 ratings",False,
The Sculptor,Scott McCloud,"4.00 avg rating — 17,889 ratings",False,
"The Secret Garden on 81st Street: A Modern Graphic Retelling of The Secret Garden (Classic Graphic Remix, 2)",Ivy Noelle Weir,"4.22 avg rating — 1,941 ratings",False,
The Secret Garden: A Graphic Novel,Mariah Marsden|(adapter),"3.80 avg rating — 3,208 ratings",False,
The Secret Life of Debbie G.,Vibha Batra,3.67 avg rating — 57 ratings,False,
The Secret of the Unicorn (Tintin #11),Hergé,"4.30 avg rating — 16,927 ratings",False,
The Secret to Superhuman Strength,Alison Bechdel,"4.15 avg rating — 10,566 ratings",False,
The Seeds,Ann Nocenti,3.34 avg rating — 979 ratings,False,
The Sentry,Paul Jenkins,"3.91 avg rating — 1,164 ratings",False,
The Sewer Rat Stink (Geronimo Stilton Graphic Novel #1),Geronimo Stilton,4.05 avg rating — 398 ratings,False,
The Shadow Hero,Gene Luen Yang,"3.87 avg rating — 8,387 ratings",False,
The Shadow of the Cross: Imprisonment,Dmitry Yakhovsky,4.29 avg rating — 7 ratings,False,
"The Shepherd's Tale (Serenity, #3)",Joss Whedon,"4.08 avg rating — 10,929 ratings",False,
The Smurfs Tales #1: The Smurfs and The Bratty Kid (1) (The Smurfs Graphic Novels),Peyo,3.86 avg rating — 70 ratings,False,
The Smurfs Tales #3: The Crow in Smurfy Grove and other stories (3) (The Smurfs Graphic Novels),Peyo,4.04 avg rating — 25 ratings,False,
The Snowcat Prince,Dina Norlund,"4.24 avg rating — 1,049 ratings",False,
"The Spirit Archives, Vol. 1",Will Eisner,3.88 avg rating — 336 ratings,False,
The Sprite and the Gardener,Rii Abrego,"4.11 avg rating — 5,599 ratings",False,
The Squirrel Machine,Hans Rickheit,3.55 avg rating — 559 ratings,False,
The Stand: Captain Trips,Roberto Aguirre-Sacasa|(Adaptor),"4.46 avg rating — 70,561 ratings",False,
"The Stereotypical Freaks (Forever Friends, #1)",Howard  Shapiro,4.01 avg rating — 232 ratings,False,
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,"4.20 avg rating — 95,332 ratings",False,
"The Stonekeeper (Amulet, #1)",Kazu Kibuishi,"4.17 avg rating — 103,443 ratings",False,
"The Stonekeeper's Curse (Amulet, #2)",Kazu Kibuishi,"4.32 avg rating — 44,770 ratings",False,
The Storm in the Barn,Matt Phelan,"3.72 avg rating — 3,759 ratings",False,
The Strange Case of Harleen and Harley,Melissa Marr,4.54 avg rating — 13 ratings,False,
The Strange Library,Haruki Murakami,"3.55 avg rating — 63,280 ratings",False,
The Strange Ones,Jeremy Jusay,3.85 avg rating — 305 ratings,False,
The Subtle Knife: The Graphic Novel,Stéphane Melchior-Durand|(Adapted by),3.82 avg rating — 209 ratings,False,
The Sunken Tower,Tait Howard,3.68 avg rating — 180 ratings,False,
"The Superior Foes of Spider-Man, Vol. 1: Getting the Band Back Together",Nick Spencer|(Writer),"4.16 avg rating — 2,006 ratings",False,
"The Superior Spider-Man, Vol. 1: My Own Worst Enemy",Dan Slott|(Writer),"4.22 avg rating — 6,088 ratings",False,
"The Superior Spider-Man, Vol. 3: No Escape",Dan Slott,"4.06 avg rating — 2,909 ratings",False,
The Tale of One Bad Rat,Bryan Talbot,"3.92 avg rating — 3,044 ratings",False,
"The Tea Dragon Festival (Tea Dragon, #2)",Kay O'Neill,"4.41 avg rating — 28,474 ratings",False,
"The Tea Dragon Society (Tea Dragon, #1)",Kay O'Neill,"4.35 avg rating — 61,462 ratings",False,
"The Tea Dragon Tapestry (Tea Dragon, #3)",Kay O'Neill,"4.50 avg rating — 20,491 ratings",False,
"The Techno Witch (Super Indy, #1)",Alex Letner,4.74 avg rating — 62 ratings,False,
The Thing Beneath the Bed (The Adventures of the Princess and Mr. Whiffle #1),Patrick Rothfuss,"4.27 avg rating — 6,695 ratings",False,
The Third Person,Emma Grove,"4.14 avg rating — 1,160 ratings",False,
The Three Musketeers,Scott Fitzgerald Gray|(Adapter),3.75 avg rating — 4 ratings,False,
The Thrilling Adventures of Lovelace and Babbage,Sydney Padua,"4.03 avg rating — 4,824 ratings",False,
The Times I Knew I Was Gay,Eleanor Crewes,"3.93 avg rating — 6,767 ratings",False,
The Tragical Comedy or Comical Tragedy of Mr. Punch,Neil Gaiman,"3.77 avg rating — 7,692 ratings",False,
The Trial of Colonel Sweeto and Other Stories,Nicholas Gurewitch,"4.37 avg rating — 2,203 ratings",False,
The Trouble With Women,Jacky Fleming,"4.26 avg rating — 3,952 ratings",False,
The True Story of the Unknown Soldier,Jacques Tardi,3.28 avg rating — 40 ratings,False,
The Twisted Ones: Five Nights at Freddy’s (Five Nights at Freddy’s Graphic Novel #2) (2) (Five Nights at Freddy's Graphic Novels),Christopher Hastings|(Adapter),"4.10 avg rating — 2,611 ratings",False,
The Two Lives of Penelope,Judith Vanistendael,4.01 avg rating — 699 ratings,False,
The Ultimates,Mark Millar,"4.09 avg rating — 9,065 ratings",False,
"The Ultimates, Volume 1: Super-Human",Mark Millar|(Writer),"4.08 avg rating — 9,457 ratings",False,
"The Umbrella Academy, Vol. 1:  Apocalypse Suite",Gerard Way|(Writer),"3.86 avg rating — 66,200 ratings",False,
"The Unbeatable Squirrel Girl, Vol. 1: Squirrel Power",Ryan North|(Writer),"4.07 avg rating — 15,667 ratings",False,
"The Unbeatable Squirrel Girl, Vol. 12: To All The Squirrels I've Loved Before",Ryan North|(Text),4.53 avg rating — 600 ratings,False,
The Unbelievable Unteens,Jeff Lemire,3.58 avg rating — 240 ratings,False,
The Underwater Welder,Jeff Lemire,"4.09 avg rating — 11,128 ratings",False,
"The Unwritten, Vol. 1: Tommy Taylor and the Bogus Identity",Mike Carey|(Writer),"3.74 avg rating — 20,222 ratings",False,
The Variants,Gail Simone|(Writer),3.96 avg rating — 559 ratings,False,
"The Villainess Turns the Hourglass, Vol. 1 (The Villainess Turns the Hourglass, 1)",Antstudio|(artist),"4.23 avg rating — 3,507 ratings",False,
"The Villainess Turns the Hourglass, Vol. 2 (The Villainess Turns the Hourglass, 2)",Antstudio|(artist),"4.30 avg rating — 1,392 ratings",False,
"The Villainess Turns the Hourglass, Vol. 3 (The Villainess Turns the Hourglass, 3)",Antstudio|(artist),4.13 avg rating — 711 ratings,False,
"The Villainess Turns the Hourglass, Vol. 4 (The Villainess Turns the Hourglass, 4)",Antstudio|(artist),4.30 avg rating — 242 ratings,False,
"The Vision, Vol. 1: Little Worse Than a Man",Tom King|(Writer),"4.26 avg rating — 12,281 ratings",False,
"The Walking Dead, Book One",Robert Kirkman,"4.35 avg rating — 37,372 ratings",False,
"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,"4.27 avg rating — 232,932 ratings",False,
The Walking Dead: Compendium One,Robert Kirkman,"4.44 avg rating — 70,161 ratings",False,
The Walking Man,Jirō Taniguchi,"3.97 avg rating — 3,346 ratings",False,
The Wall: Growing Up Behind the Iron Curtain,Peter Sís,"4.08 avg rating — 4,592 ratings",False,
"The Wallflower, Vol. 1 (The Wallflower, #1)",Tomoko Hayakawa,"4.12 avg rating — 18,852 ratings",False,
"The Wallflower, Vol. 14 (The Wallflower, #14)",Tomoko Hayakawa,"4.18 avg rating — 1,015 ratings",False,
"The Waters of Skagerrak (Sirens of the Norse Sea, #1-2)",Françoise Ruscak,3.10 avg rating — 168 ratings,False,
The Well,Jake Wyatt,"4.09 avg rating — 2,181 ratings",False,
"The Wicked + The Divine, Vol. 1: The Faust Act",Kieron Gillen,"3.82 avg rating — 59,306 ratings",False,
"The Witch Boy (The Witch Boy, #1)",Molly Knox Ostertag,"4.21 avg rating — 29,050 ratings",False,
The Witch Owl Parliament,David  Bowles,3.55 avg rating — 242 ratings,False,
"The Witch's Hand  (The Montague Twins, #1)",Nathan  Page,"4.00 avg rating — 1,853 ratings",False,
The Witcher: Ronin,Rafał Jaki,"3.74 avg rating — 1,389 ratings",False,
The Witches: The Graphic Novel,Pénélope Bagieu,"3.96 avg rating — 6,015 ratings",False,
The Wolves in the Walls,Neil Gaiman,"4.04 avg rating — 18,330 ratings",False,
The Worst Dudes,Aubrey Sitterson,2.65 avg rating — 49 ratings,False,
The Wrong Place,Brecht Evens,"4.01 avg rating — 1,852 ratings",False,
